name	region	pop	ancient_modern	total_archaic	proportion	date
B_Australian-3	Oceania	Oceania	modern	899541.0	0.323	0
B_Australian-4	Oceania	Oceania	modern	485575.0	0.348	0
B_Crete-1	WEurCAS	WEur	modern	524489.0	0.188	0
B_Crete-2	WEurCAS	WEur	modern	451301.0	0.324	0
B_Dai-4	Americas&Asia	EAS	modern	1224297.0	0.878	0
B_French-3	WEurCAS	WEur	modern	249672.0	0.179	0
B_Han-3	Americas&Asia	EAS	modern	278954.0	0.2	0
B_Karitiana-3	Americas&Asia	Siberia&Americas	modern	268546.0	0.193	0
B_Mixe-1	Americas&Asia	Siberia&Americas	modern	351865.0	0.126	0
B_Papuan-15	Oceania	Oceania	modern	742075.0	0.532	0
B_Sardinian-3	WEurCAS	WEur	modern	83716.0	0.06	0
S_Abkhasian-1	WEurCAS	WEur	modern	255132.0	0.183	0
S_Abkhasian-2	WEurCAS	WEur	modern	302866.0	0.217	0
S_Adygei-1	WEurCAS	WEur	modern	516338.0	0.37	0
S_Adygei-2	WEurCAS	WEur	modern	725798.0	0.26	0
S_Albanian-1	WEurCAS	WEur	modern	1254256.0	0.45	0
S_Aleut-1	Americas&Asia	Siberia&Americas	modern	169684.0	0.122	0
S_Aleut-2	Americas&Asia	Siberia&Americas	modern	1068116.0	0.383	0
S_Altaian-1	Americas&Asia	EAS	modern	546099.0	0.392	0
S_Ami-1	Americas&Asia	EAS	modern	141268.0	0.101	0
S_Ami-2	Americas&Asia	EAS	modern	130649.0	0.094	0
S_Armenian-1	WEurCAS	WEur	modern	76462.0	0.055	0
S_Armenian-2	WEurCAS	WEur	modern	138210.0	0.099	0
S_Atayal-1	Americas&Asia	EAS	modern	704273.0	0.505	0
S_Balochi-1	WEurCAS	SWA	modern	955042.0	0.685	0
S_Balochi-2	WEurCAS	SWA	modern	231972.0	0.166	0
S_Basque-1	WEurCAS	WEur	modern	160256.0	0.115	0
S_Basque-2	WEurCAS	WEur	modern	223401.0	0.08	0
S_BedouinB-1	WEurCAS	WEur	modern	715756.0	0.514	0
S_BedouinB-2	WEurCAS	WEur	modern	1193812.0	0.428	0
S_Bengali-1	Americas&Asia	SA	modern	325053.0	0.233	0
S_Bengali-2	Americas&Asia	SA	modern	1273322.0	0.457	0
S_Bergamo-1	WEurCAS	WEur	modern	143416.0	0.103	0
S_Bergamo-2	WEurCAS	WEur	modern	426060.0	0.153	0
S_Bougainville-1	Oceania	Oceania	modern	2802078.0	1.005	0
S_Bougainville-2	Oceania	Oceania	modern	3261507.0	1.17	0
S_Brahmin-1	Americas&Asia	SA	modern	2172641.0	1.559	0
S_Brahmin-2	Americas&Asia	SA	modern	602120.0	0.432	0
S_Brahui-1	WEurCAS	SWA	modern	279052.0	0.2	0
S_Brahui-2	WEurCAS	SWA	modern	251009.0	0.18	0
S_Bulgarian-1	WEurCAS	WEur	modern	385933.0	0.277	0
S_Bulgarian-2	WEurCAS	WEur	modern	23054.0	0.017	0
S_Burmese-1	Americas&Asia	EAS	modern	704546.0	0.506	0
S_Burmese-2	Americas&Asia	EAS	modern	1670998.0	1.199	0
S_Burusho-1	WEurCAS	SWA	modern	266877.0	0.191	0
S_Burusho-2	WEurCAS	SWA	modern	225689.0	0.081	0
S_Cambodian-1	Americas&Asia	EAS	modern	924506.0	0.663	0
S_Cambodian-2	Americas&Asia	EAS	modern	1150452.0	0.413	0
S_Chane-1	Americas&Asia	Siberia&Americas	modern	725927.0	0.521	0
S_Chechen-1	WEurCAS	WEur	modern	172818.0	0.124	0
S_Chukchi-1	Americas&Asia	Siberia&Americas	modern	94774.0	0.068	0
S_Czech-2	WEurCAS	WEur	modern	161083.0	0.116	0
S_Dai-1	Americas&Asia	EAS	modern	1249295.0	0.448	0
S_Dai-2	Americas&Asia	EAS	modern	267881.0	0.192	0
S_Dai-3	Americas&Asia	EAS	modern	1137147.0	0.408	0
S_Daur-2	Americas&Asia	EAS	modern	1078707.0	0.387	0
S_Druze-1	WEurCAS	WEur	modern	612647.0	0.22	0
