name	method	total	shared	archaic	region
B_Australian-3	admixfrog	30920.0	26910.0	DEN	Oceania
B_Australian-3	hmmix	96361.0	26910.0	DEN	Oceania
B_Australian-3	admixfrog	75896.0	59784.0	NEA	Oceania
B_Australian-3	hmmix	90723.0	59784.0	NEA	Oceania
B_Australian-3	admixfrog	106077.0	88932.0	BOTH	Oceania
B_Australian-3	hmmix	192829.0	88932.0	BOTH	Oceania
B_Australian-4	admixfrog	33649.0	29147.0	DEN	Oceania
B_Australian-4	hmmix	98298.0	29147.0	DEN	Oceania
B_Australian-4	admixfrog	74976.0	59638.0	NEA	Oceania
B_Australian-4	hmmix	94659.0	59638.0	NEA	Oceania
B_Australian-4	admixfrog	107768.0	91024.0	BOTH	Oceania
B_Australian-4	hmmix	198961.0	91024.0	BOTH	Oceania
B_Crete-1	admixfrog	81.0	78.0	DEN	WestEurasia
B_Crete-1	hmmix	2880.0	78.0	DEN	WestEurasia
B_Crete-1	admixfrog	51323.0	29908.0	NEA	WestEurasia
B_Crete-1	hmmix	51791.0	29908.0	NEA	WestEurasia
B_Crete-1	admixfrog	51404.0	30047.0	BOTH	WestEurasia
B_Crete-1	hmmix	57769.0	30047.0	BOTH	WestEurasia
B_Crete-2	admixfrog	194.0	136.0	DEN	WestEurasia
B_Crete-2	hmmix	2766.0	136.0	DEN	WestEurasia
B_Crete-2	admixfrog	50888.0	29253.0	NEA	WestEurasia
B_Crete-2	hmmix	49892.0	29253.0	NEA	WestEurasia
B_Crete-2	admixfrog	51082.0	29611.0	BOTH	WestEurasia
B_Crete-2	hmmix	55082.0	29611.0	BOTH	WestEurasia
B_Dai-4	admixfrog	1791.0	900.0	DEN	EastAsia
B_Dai-4	hmmix	6085.0	900.0	DEN	EastAsia
B_Dai-4	admixfrog	61822.0	42021.0	NEA	EastAsia
B_Dai-4	hmmix	71311.0	42021.0	NEA	EastAsia
B_Dai-4	admixfrog	63570.0	43111.0	BOTH	EastAsia
B_Dai-4	hmmix	80470.0	43111.0	BOTH	EastAsia
B_French-3	admixfrog	144.0	144.0	DEN	WestEurasia
B_French-3	hmmix	2520.0	144.0	DEN	WestEurasia
B_French-3	admixfrog	53859.0	33330.0	NEA	WestEurasia
B_French-3	hmmix	51826.0	33330.0	NEA	WestEurasia
B_French-3	admixfrog	54003.0	33535.0	BOTH	WestEurasia
B_French-3	hmmix	56094.0	33535.0	BOTH	WestEurasia
B_Han-3	admixfrog	1959.0	1717.0	DEN	EastAsia
B_Han-3	hmmix	6017.0	1717.0	DEN	EastAsia
B_Han-3	admixfrog	72804.0	56451.0	NEA	EastAsia
B_Han-3	hmmix	84096.0	56451.0	NEA	EastAsia
B_Han-3	admixfrog	74763.0	58362.0	BOTH	EastAsia
B_Han-3	hmmix	92813.0	58362.0	BOTH	EastAsia
B_Karitiana-3	admixfrog	1120.0	1079.0	DEN	America
B_Karitiana-3	hmmix	5027.0	1079.0	DEN	America
B_Karitiana-3	admixfrog	56482.0	43941.0	NEA	America
B_Karitiana-3	hmmix	68414.0	43941.0	NEA	America
B_Karitiana-3	admixfrog	57602.0	45231.0	BOTH	America
B_Karitiana-3	hmmix	75667.0	45231.0	BOTH	America
B_Mixe-1	admixfrog	922.0	607.0	DEN	America
B_Mixe-1	hmmix	6117.0	607.0	DEN	America
B_Mixe-1	admixfrog	58474.0	44256.0	NEA	America
B_Mixe-1	hmmix	69292.0	44256.0	NEA	America
B_Mixe-1	admixfrog	59396.0	45132.0	BOTH	America
B_Mixe-1	hmmix	77680.0	45132.0	BOTH	America
B_Papuan-15	admixfrog	33973.0	30694.0	DEN	Oceania
B_Papuan-15	hmmix	94235.0	30694.0	DEN	Oceania
B_Papuan-15	admixfrog	69644.0	53689.0	NEA	Oceania
B_Papuan-15	hmmix	86444.0	53689.0	NEA	Oceania
B_Papuan-15	admixfrog	103389.0	86999.0	BOTH	Oceania
B_Papuan-15	hmmix	186409.0	86999.0	BOTH	Oceania
B_Sardinian-3	admixfrog	33.0	33.0	DEN	WestEurasia
B_Sardinian-3	hmmix	2885.0	33.0	DEN	WestEurasia
B_Sardinian-3	admixfrog	59777.0	33159.0	NEA	WestEurasia
B_Sardinian-3	hmmix	53548.0	33159.0	NEA	WestEurasia
B_Sardinian-3	admixfrog	59810.0	33252.0	BOTH	WestEurasia
B_Sardinian-3	hmmix	59408.0	33252.0	BOTH	WestEurasia
S_Albanian-1	admixfrog	457.0	439.0	DEN	WestEurasia
S_Albanian-1	hmmix	3087.0	439.0	DEN	WestEurasia
S_Albanian-1	admixfrog	65257.0	35491.0	NEA	WestEurasia
S_Albanian-1	hmmix	56177.0	35491.0	NEA	WestEurasia
S_Albanian-1	admixfrog	65714.0	35999.0	BOTH	WestEurasia
S_Albanian-1	hmmix	62567.0	35999.0	BOTH	WestEurasia
S_Altaian-1	admixfrog	2255.0	2073.0	DEN	CentralAsiaSiberia
S_Altaian-1	hmmix	7849.0	2073.0	DEN	CentralAsiaSiberia
S_Altaian-1	admixfrog	70830.0	53182.0	NEA	CentralAsiaSiberia
S_Altaian-1	hmmix	82404.0	53182.0	NEA	CentralAsiaSiberia
