start	end	rec_rate	freq_modern	freq_ancient
398825	418825	0.0	0.0	0.0
418825	438825	0.0	0.0	0.0
438825	458825	0.0	0.0	0.0
458825	478825	0.0	0.0	0.0
478825	498825	0.0	0.0	0.0
498825	518825	0.0	0.0	0.0
518825	538825	0.0	0.0	0.0
538825	558825	0.0	0.0	0.0
558825	578825	0.0	0.0	0.0
578825	598825	0.0	0.0	0.0
598825	618825	0.0	0.0	0.0
618825	638825	0.0	0.0	0.0
638825	658825	0.0	0.0	0.0
658825	678825	0.0	0.0	0.0
678825	698825	0.0	0.0	0.0
698825	718825	0.0	0.0	0.0
718825	738825	0.0	0.0	0.0
738825	758825	0.0	0.0	0.0
758825	778825	0.0	0.0	0.0
778825	798825	0.0	0.0	0.0
798825	818825	0.0	0.0	0.0
818825	838825	0.0	0.0	0.0
838825	858825	0.0	0.0	0.0
858825	878825	0.0	0.0	0.0
878825	898825	0.0	0.0	0.0
898825	918825	0.0	0.0	0.0
918825	938825	0.0	0.0	0.0
938825	958825	0.0	0.0	0.0
958825	978825	0.0	0.0	0.0
978825	998825	0.0	0.0	0.0
998825	1018825	0.0	0.0	0.0
1018825	1038825	0.0	0.0	0.0
1198825	1218825	0.0	0.0	0.0
1218825	1238825	0.0	0.0	0.0
1238825	1258825	0.0	0.0	0.0
1258825	1278825	0.0	0.0	0.0
1298825	1318825	0.0	0.0	0.0
1318825	1338825	0.0	0.0	0.0
1338825	1358825	0.0	0.0	0.0
1358825	1378825	0.0	0.0	0.0
1378825	1398825	0.0	0.0	0.0
1398825	1418825	0.0	0.0	0.0
1418825	1438825	0.0	0.0	0.0
1438825	1458825	0.0	0.0	0.0
1458825	1478825	0.0	0.0	0.0
1478825	1498825	0.0	0.0	0.0
1498825	1518825	0.0	0.0	0.0
1518825	1538825	0.0	0.0	0.0
1538825	1558825	0.0	0.0	0.0
1558825	1578825	0.0	0.0	0.0
1578825	1598825	0.0	0.0	0.0
1598825	1618825	0.0	0.0	0.0
1618825	1638825	0.0	0.0	0.0
1638825	1658825	0.0	0.0	0.0
1658825	1678825	0.0	0.0	0.0
1678825	1698825	0.0	0.0	0.0
1698825	1718825	0.0	0.0	0.0
1718825	1738825	0.0	0.0	0.0
1738825	1758825	0.0	0.0	0.0
1758825	1778825	0.0	0.0	0.0
1778825	1798825	0.0	0.0	0.0
1798825	1818825	0.0	0.0	0.0
1818825	1838825	0.0	0.0	0.0
1838825	1858825	0.0	0.0	0.0
1858825	1878825	0.0	0.0	0.0
1878825	1898825	0.0	0.0	0.0
1898825	1918825	0.0	0.0	0.0
1918825	1938825	0.0	0.0	0.0
1938825	1958825	0.0	0.0	0.0
1958825	1978825	0.0	0.0	0.0
1978825	1998825	0.0	0.0	0.0
1998825	2018825	0.0	0.0	0.0
2018825	2038825	0.0	0.0	0.0
2038825	2058825	0.0	0.0	0.0
2058825	2078825	0.0	0.0	0.0
2098825	2118825	0.0	0.0	0.0
2118825	2138825	0.0	0.0	0.0
2138825	2158825	0.0	0.0	0.0
2158825	2178825	0.0	0.0	0.0
2178825	2198825	0.0	0.0	0.0
2198825	2218825	0.0	0.0	0.0
2218825	2238825	0.0	0.0	0.0
2238825	2258825	0.0	0.0	0.0
2258825	2278825	0.0	0.0	0.0
2278825	2298825	0.0	0.0	0.0
2298825	2318825	0.0	0.0	0.0
2318825	2338825	0.0	0.0	0.0
2338825	2358825	0.0	0.0	0.0
2358825	2378825	0.0	0.0	0.0
2378825	2398825	0.0	0.0	0.0
2398825	2418825	0.0	0.0	0.0
2418825	2438825	0.0	0.0	0.0
2438825	2458825	0.0	0.0	0.0
2458825	2478825	0.0	0.0	0.0
2478825	2498825	0.0	0.0	0.0
2498825	2518825	0.0	0.0	0.0
2518825	2538825	0.0	0.0	0.0
2538825	2558825	0.0	0.0	0.0
2558825	2578825	0.0	0.0	0.0
2578825	2598825	0.0	0.0	0.0
2598825	2618825	0.0	0.0	0.0
2618825	2638825	0.0	0.0	0.0
2638825	2658825	0.0	0.0	0.0
2658825	2678825	0.0	0.0	0.0
2678825	2698825	0.0	0.0	0.0
2698825	2718825	0.0	0.0	0.0
2718825	2738825	0.0	0.0	0.0
2738825	2758825	0.0	0.0	0.0
2758825	2778825	0.0	0.0	0.0
2778825	2798825	0.0	0.0	0.0
2798825	2818825	0.0	0.0	0.0
2818825	2838825	0.0010906215239154578	0.0	0.0
2838825	2858825	0.0362328182414357	0.0	0.0
2858825	2878825	0.7570730615699135	0.0	0.0
2878825	2898825	0.26211384608892196	0.0	0.0
2898825	2918825	0.2561083821938327	0.0	0.0
2918825	2938825	0.28481788836653704	0.0	0.0
2938825	2958825	0.06970501415269979	0.0	0.0
2958825	2978825	0.0541483962341808	0.0	0.0
2978825	2998825	0.06353705855262366	0.0	0.0
2998825	3018825	0.877404410136293	0.0	0.0
3018825	3038825	0.6306989319935532	0.0	0.0
3038825	3058825	0.3840549949124346	0.0	0.0
3058825	3078825	0.05066447133619769	0.0	0.0
3078825	3098825	0.16342777850520893	0.0	0.0
3098825	3118825	0.27285679534502383	0.0	0.0
3118825	3138825	0.24642551484211472	0.0	0.0
3138825	3158825	0.9671554955360767	0.0	0.0
3158825	3178825	1.8321062548267248	0.0	0.0
3178825	3198825	0.1439631058729611	0.0	0.0
3198825	3218825	0.04711999275415022	0.0	0.0
3218825	3238825	0.06818889503501552	0.0	0.0
3238825	3258825	0.004080674778136603	0.0	0.0
3258825	3278825	0.2564774826637004	0.0	0.0
3278825	3298825	0.693856961553851	0.0	0.0
3298825	3318825	0.08909985464846584	0.0	0.0
3318825	3338825	0.11911573835618312	0.0	0.0
3338825	3358825	1.155775869872608	0.0	0.0
3358825	3378825	0.22389827172254786	0.0	0.0
3378825	3398825	0.25876241474773654	0.0	0.0
3398825	3418825	0.09759912900391712	0.0	0.0
3418825	3438825	0.2385764835053236	0.0	0.0
3438825	3458825	1.2437971514202064	0.0	0.0
3458825	3478825	0.38347445524561546	0.0	0.0
3478825	3498825	0.23332653454577063	0.0	0.0
3498825	3518825	0.5294956731779686	0.0	0.0
3518825	3538825	4.169960222836253	0.0	0.0
3538825	3558825	5.28904711242989	0.0	0.0
3558825	3578825	2.158676536278077	0.0	0.0
3578825	3598825	2.4878004665043285	0.0	0.0
3598825	3618825	6.430904949263312	0.0	0.0
3618825	3638825	7.803808483768771	0.0	0.0
3638825	3658825	1.3291898820164179	0.0	0.0
3658825	3678825	2.5066427873575505	0.0	0.0
3678825	3698825	1.1156020559636264	0.0	0.0
3698825	3718825	0.06007767301641993	0.0	0.0
3718825	3738825	0.0	0.0	0.0
3738825	3758825	0.0	0.0	0.0
3838825	3858825	0.0	0.0	0.0
3858825	3878825	0.0	0.0	0.0
3878825	3898825	0.0	0.0	0.0
3898825	3918825	0.0	0.0	0.0
3918825	3938825	1.0126063120798545	0.0	0.0
3938825	3958825	0.5708080724871071	0.0	0.0
3958825	3978825	0.08911071153602791	0.0	0.0
3978825	3998825	0.08070722190693047	0.0	0.0
3998825	4018825	0.19846667288969172	0.0	0.0
4018825	4038825	0.44306898336982914	0.0	0.0
4038825	4058825	0.2612594597967363	0.0	0.0
4058825	4078825	0.11489649378512785	0.0	0.0
4078825	4098825	0.17110235107412836	0.0	0.0
4098825	4118825	0.04886504420926117	0.0	0.0
4118825	4138825	0.8425167243646571	0.0	0.0
4138825	4158825	0.10483177362741648	0.0	0.0
4158825	4178825	0.08558294735054205	0.0	0.0
4178825	4198825	3.168326599988367	0.0	0.0
4198825	4218825	0.6467865038611321	0.0	0.0
4218825	4238825	1.7646682210645441	0.0	0.0
4238825	4258825	0.16444782520601234	0.0	0.0
4258825	4278825	0.033096374760992434	0.0	0.0
4278825	4298825	0.34601303437903463	0.0	0.0
4298825	4318825	0.0625409957253778	0.0	0.0
4318825	4338825	0.021720881504146375	0.0	0.0
4338825	4358825	0.04467675490043596	0.0	0.0
4358825	4378825	0.04419508733144131	0.0	0.0
4378825	4398825	0.05017992778001675	0.0	0.0
4398825	4418825	0.04936850997933924	0.0	0.0
4418825	4438825	0.045045853875637726	0.0	0.0
4438825	4458825	0.5751724469961007	0.0	0.0
4458825	4478825	0.18358854569600697	0.0	0.0
4478825	4498825	0.08643946716154077	0.0	0.0
4498825	4518825	0.16650366919207335	0.0	0.0
4518825	4538825	1.2115154936808057	0.0	0.0
4538825	4558825	1.9015813145883047	0.0	0.0
4558825	4578825	2.081502269615058	0.0	0.0
4578825	4598825	0.7004013409902954	0.0	0.0
4598825	4618825	1.9065475418475155	0.0	0.0
4618825	4638825	9.577006234313952	0.0	0.0
4638825	4658825	1.061670657401927	0.0	0.0
4658825	4678825	0.42857654280881924	0.0	0.0
4678825	4698825	1.392130444480212	0.0	0.0
4698825	4718825	1.0207861883811575	0.0	0.0
4718825	4738825	0.3584307239051254	0.0	0.0
4738825	4758825	0.28771752606855905	0.0	0.0
4758825	4778825	5.148131873404817	0.0	0.0
4778825	4798825	0.9339205847269535	0.0	0.0
4798825	4818825	0.3200062652534204	0.0	0.0
4818825	4838825	0.3658882851364726	0.0	0.0
4838825	4858825	0.5046491297206829	0.0	0.0
4858825	4878825	0.1730797957055881	0.0	0.0
4878825	4898825	0.14677521744617236	0.0	0.0
4898825	4918825	0.3719674409022631	0.0	0.0
4918825	4938825	0.14504691295424388	0.0	0.0
4938825	4958825	0.07388643051798172	0.0	0.0
4958825	4978825	0.30958810410440485	0.0	0.0
4978825	4998825	0.22759802809928792	0.0	0.0
4998825	5018825	0.17581720609902518	0.0	0.0
5018825	5038825	0.13177393730867967	0.0	0.0
5038825	5058825	0.08728307010828555	0.0	0.0
5058825	5078825	0.10129831065290462	0.0	0.0
5078825	5098825	1.614013119730561	0.0	0.0
5098825	5118825	1.848820266490144	0.0	0.0
5118825	5138825	0.31896349543080194	0.0	0.0
5138825	5158825	0.08082853009612613	0.0	0.0
5158825	5178825	0.3000428256816699	0.0	0.0
5178825	5198825	0.7196232953335965	0.0	0.0
5198825	5218825	1.8422140314583921	0.0	0.0
5218825	5238825	0.7381963678457086	0.0	0.0
5238825	5258825	0.30585563717978004	0.0	0.0
5258825	5278825	1.1535910022182125	0.0	0.0
5278825	5298825	0.6984234523885854	0.0	0.0
5298825	5318825	0.7473124151777005	0.0	0.0
5318825	5338825	2.135379493023144	0.0	0.0
5338825	5358825	1.3598911799024946	0.0	0.0
5358825	5378825	22.346234472729982	0.0	0.0
5378825	5398825	1.5608383551891596	0.0	0.0
5398825	5418825	0.2066865176659462	0.0	0.0
5418825	5438825	0.19609163520659312	0.0	0.0
5438825	5458825	0.18507853566939655	0.0	0.0
5458825	5478825	4.889100934891963	0.0	0.0
5478825	5498825	1.4430293711287485	0.0	0.0
5498825	5518825	6.047082521315071	0.0	0.0
5518825	5538825	0.5215142133459229	0.0	0.0
5538825	5558825	0.419802534465704	0.0	0.0
5558825	5578825	0.7585474926773521	0.0	0.0
5578825	5598825	0.6145449934160472	0.0	0.0
5598825	5618825	0.5035481385182272	0.0	0.0
5618825	5638825	0.1743081865400325	0.0	0.0
5638825	5658825	0.2907734668077822	0.0	0.0
5658825	5678825	1.8060745208766904	0.0	0.0
5678825	5698825	0.4150394280200774	0.0	0.0
5698825	5718825	0.9031445385400537	0.0	0.0
5718825	5738825	16.40423411040456	0.0	0.0
5738825	5758825	13.697844962025382	0.0	0.0
5758825	5778825	1.0027996871052287	0.0	0.0
5778825	5798825	0.28505695241059437	0.0	0.0
5798825	5818825	0.118404450338732	0.0	0.0
5818825	5838825	0.04774935930236553	0.0	0.0
5838825	5858825	0.07984216780439303	0.0	0.0
5858825	5878825	0.8139575270886273	0.0	0.0
5878825	5898825	0.23618704756763717	0.0	0.0
5898825	5918825	0.2059844868156261	0.0	0.0
5918825	5938825	0.21744626156475427	0.0	0.0
5938825	5958825	0.12120341891817434	0.0	0.0
5958825	5978825	0.08994024228085228	0.0	0.0
5978825	5998825	0.0691711032741236	0.0	0.0
5998825	6018825	0.056604864896704625	0.0	0.0
6018825	6038825	0.38845281022648753	0.0	0.0
6038825	6058825	3.961123759622418	0.0	0.0
6058825	6078825	0.5411563484039795	0.0	0.0
6078825	6098825	0.2640966837930125	0.0	0.0
6098825	6118825	0.27751642697250206	0.0	0.0
6118825	6138825	2.070801933901986	0.0	0.0
6138825	6158825	2.339107842099591	0.0	0.0
6158825	6178825	1.027483052395342	0.0	0.0
6178825	6198825	0.6254754298088696	0.0	0.0
6198825	6218825	0.09791134076078288	0.0	0.0
6218825	6238825	2.7955913666385324	0.0	0.0
6238825	6258825	1.7859368968714866	0.0	0.0
6258825	6278825	0.7505045066363394	0.0	0.0
6278825	6298825	0.9172213934403511	0.0	0.0
6298825	6318825	1.0284214833619312	0.0	0.0
6318825	6338825	0.4351918586283382	0.0	0.0
6338825	6358825	0.38516268313670127	0.0	0.0
6358825	6378825	0.6961789349545259	0.0	0.0
6378825	6398825	1.7180404999106607	0.0	0.0
6398825	6418825	0.23659915512994797	0.0	0.0
6418825	6438825	0.8719890741627303	0.0	0.0
6438825	6458825	0.19523210456729478	0.0	0.0
6458825	6478825	0.1750545119740028	0.0	0.0
6478825	6498825	0.42054710739164186	0.0	0.0
6498825	6518825	2.6522040464598513	0.0	0.0
6518825	6538825	1.0569412723096054	0.0	0.0
6538825	6558825	1.3430222350887198	0.0	0.0
6558825	6578825	0.7872702582700496	0.0	0.0
6578825	6598825	0.44256958039546596	0.0	0.0
6598825	6618825	0.5595356561704202	0.0	0.0
6618825	6638825	0.7007045742987995	0.0	0.0
6638825	6658825	4.072146554119128	0.0	0.0
6658825	6678825	40.57322861956823	0.0	0.0
6678825	6698825	5.203121915223663	0.0	0.0
6698825	6718825	0.9616848477094525	0.0	0.0
6718825	6738825	0.6714491530307755	0.0	0.0
6738825	6758825	0.2284262523641377	0.0	0.0
6758825	6778825	0.08942523609217518	0.0	0.0
6778825	6798825	0.14666110556878356	0.0	0.0
6798825	6818825	0.5669337001476672	0.0	0.0
6818825	6838825	2.2253336113076516	0.0	0.0
6838825	6858825	0.7983246712308011	0.0	0.0
6858825	6878825	0.19737338849441904	0.0	0.0
6878825	6898825	0.5800507697735764	0.0	0.0
6898825	6918825	0.31438982000754095	0.0	0.0
6918825	6938825	1.4407641770202944	0.0	0.0
6938825	6958825	0.3606197195775615	0.0	0.0
6958825	6978825	0.14001316414683648	0.0	0.0
6978825	6998825	0.10128558389889297	0.0	0.0
6998825	7018825	0.08459392733956049	0.0	0.0
7018825	7038825	0.044109497026467485	0.0	0.0
7038825	7058825	0.03851123354042497	0.0	0.0
7058825	7078825	0.04901221050541627	0.0	0.0
7078825	7098825	0.08588635612962285	0.0	0.0
7098825	7118825	0.030692054451756105	0.0	0.0
7118825	7138825	0.027168529359570516	0.0	0.0
7138825	7158825	0.03598381326962377	0.0	0.0
7158825	7178825	0.040582706823842116	0.0	0.0
7178825	7198825	0.04320372414870751	0.0	0.0
7198825	7218825	0.06464561413079205	0.0	0.0
7218825	7238825	0.14493348587890595	0.0	0.0
7238825	7258825	0.29628620510803605	0.0	0.0
7258825	7278825	0.1812841177933516	0.0	0.0
7278825	7298825	0.14912912661811592	0.0	0.0
7298825	7318825	0.25087935600163613	0.0	0.0
7318825	7338825	0.4076153039681456	0.0	0.0
7338825	7358825	0.1593063395125983	0.0	0.0
7358825	7378825	0.08100201953353267	0.0	0.0
7378825	7398825	0.07349922673494015	0.0	0.0
7398825	7418825	7.127848474015711	0.0	0.0
7418825	7438825	0.76929749629785	0.0	0.0
7438825	7458825	0.17796507500782072	0.0	0.0
7458825	7478825	0.5131270292597354	0.0	0.0
7478825	7498825	0.18986849392461394	0.0	0.0
7498825	7518825	0.268505055359284	0.0	0.0
7518825	7538825	0.20434124643298396	0.0	0.0
7538825	7558825	1.387260080885227	0.0	0.0
7558825	7578825	0.6756079771456973	0.0	0.0
7578825	7598825	0.6697518138039884	0.0	0.0
7598825	7618825	2.2045953792251396	0.0	0.0
7618825	7638825	0.1351383626933333	0.0	0.0
7658825	7678825	0.25202879677376067	0.0	0.0
7678825	7698825	0.6146863712243781	0.0	0.0
7698825	7718825	0.47424899865257175	0.0	0.0
7718825	7738825	0.33864269752178844	0.0	0.0
7738825	7758825	0.3926129582412278	0.0	0.0
7758825	7778825	1.5102658679161811	0.0	0.0
7778825	7798825	1.256361844435526	0.0	0.0
7798825	7818825	12.645857403722967	0.0	0.0
7818825	7838825	7.305258361408789	0.0	0.0
7838825	7858825	0.5218479455111364	0.0	0.0
7858825	7878825	0.23756851357970127	0.0	0.0
7878825	7898825	0.11862994855196016	0.0	0.0
7898825	7918825	0.12917384625349917	0.0	0.0
7918825	7938825	0.2635656748758843	0.0	0.0
7938825	7958825	0.2330614902914197	0.0	0.0
7958825	7978825	0.4774311744594348	0.0	0.0
7978825	7998825	5.146558782055337	0.0	0.0
7998825	8018825	1.1213832293449766	0.0	0.0
8018825	8038825	0.5520849251897216	0.0	0.0
8038825	8058825	0.3935132372146435	0.0	0.0
8058825	8078825	0.20667917619305046	0.0	0.0
8078825	8098825	0.0801307398818551	0.0	0.0
8098825	8118825	0.17907053853682373	0.0	0.0
8118825	8138825	2.0526332891117316	0.0	0.0
8138825	8158825	1.541682133108909	0.0	0.0
8158825	8178825	0.5315470577662099	0.0	0.0
8178825	8198825	0.3083873797729704	0.0	0.0
8198825	8218825	0.22781882271719142	0.0	0.0
8218825	8238825	0.4471215267517606	0.0	0.0
8238825	8258825	0.12604646379673337	0.0	0.0
8258825	8278825	0.0910497754808196	0.0	0.0
8278825	8298825	0.30908729425756726	0.0	0.0
8298825	8318825	1.2794288498437407	0.0	0.0
8318825	8338825	1.4005750567531963	0.0	0.0
8338825	8358825	2.9384060529849383	0.0	0.0
8358825	8378825	0.3878581075804122	0.0	0.0
8378825	8398825	0.14948679582526211	0.0	0.0
8398825	8418825	0.39324716411116134	0.0	0.0
8418825	8438825	4.185427490688402	0.0	0.0
8438825	8458825	1.9353979836763548	0.0	0.0
8458825	8478825	1.2062527938706582	0.0	0.0
8478825	8498825	34.127718017041296	0.0	0.0
8498825	8518825	4.697754546043546	0.0	0.0
8518825	8538825	5.90261174445608	0.0	0.0
8538825	8558825	4.5784488946645565	0.0	0.0
8558825	8578825	0.7239016673363682	0.0	0.0
8578825	8598825	0.830740795139342	0.0	0.0
8598825	8618825	2.754459378312425	0.0	0.0
8618825	8638825	4.772328106321624	0.0	0.0
8638825	8658825	6.722507626414963	0.0	0.0
8658825	8678825	1.0414861895098466	0.0	0.0
8678825	8698825	0.39029478808819	0.0	0.0
8698825	8718825	0.6012481453496055	0.0	0.0
8718825	8738825	0.3189153298764566	0.0	0.0
8738825	8758825	0.3237846978465105	0.0	0.0
8758825	8778825	0.23545725670729017	0.0	0.0
8778825	8798825	0.4992751943196444	0.0	0.0
8798825	8818825	0.34771511221769136	0.0	0.0
8818825	8838825	2.0517899854925634	0.0	0.0
8838825	8858825	1.6460923631583293	0.0	0.0
8858825	8878825	0.35812741668106085	0.0	0.0
8878825	8898825	0.2922075908808805	0.0	0.0
8898825	8918825	8.564822749636594	0.0	0.0
8918825	8938825	37.5351652272698	0.0	0.0
8938825	8958825	4.979701652993106	0.0	0.0
8958825	8978825	0.9471005314370006	0.0	0.0
8978825	8998825	0.95837501366008	0.0	0.0
8998825	9018825	1.0674364117346709	0.0	0.0
9018825	9038825	0.9276087447850303	0.0	0.0
9038825	9058825	0.35952227168502615	0.0	0.0
9058825	9078825	0.45087534966232995	0.0	0.0
9078825	9098825	2.0265627508777673	0.0	0.0
9098825	9118825	5.553720077694864	0.0	0.0
9118825	9138825	3.5388361081831303	0.0	0.0
9138825	9158825	2.6498958926508838	0.0	0.0
9158825	9178825	9.371152890589691	0.0	0.0
9178825	9198825	1.2912501790891016	0.0	0.0
9198825	9218825	8.420983851119622	0.0	0.0
9218825	9238825	9.312354866032917	0.0	0.0
9238825	9258825	2.5415328079122266	0.0	0.0
9258825	9278825	11.574989784757816	0.0	0.0
9278825	9298825	3.2158837968840945	0.0	0.0
9298825	9318825	0.7072972120898642	0.0	0.0
9318825	9338825	1.5827410007359668	0.0	0.0
9338825	9358825	4.169788766924583	0.0	0.0
9358825	9378825	1.1593583089524633	0.0	0.0
9378825	9398825	1.271923894363095	0.0	0.0
9398825	9418825	3.0357393044109098	0.0	0.0
9418825	9438825	7.841453019793241	0.0	0.0
9438825	9458825	3.625709979239182	0.0	0.0
9458825	9478825	0.6656133583298954	0.0	0.0
9478825	9498825	0.3812035586768339	0.0	0.0
9498825	9518825	0.5486090126065819	0.0	0.0
9518825	9538825	3.0921270403949443	0.0	0.0
9538825	9558825	4.431039846687036	0.0	0.0
9558825	9578825	1.4226082316325785	0.0	0.0
9578825	9598825	4.3265643121829385	0.0	0.0
9598825	9618825	1.4865076141705595	0.0	0.0
9618825	9638825	2.2960776489993426	0.0	0.0
9638825	9658825	1.8838738473074292	0.0	0.0
9658825	9678825	7.15079162086751	0.0	0.0
9678825	9698825	5.449616517267305	0.0	0.0
9698825	9718825	1.3992757154586042	0.5	0.0
9718825	9738825	5.185519713512422	0.92	0.0
9738825	9758825	9.074937187216596	0.0	0.0
9758825	9778825	11.352700385011781	0.0	0.0
9778825	9798825	5.611373408939865	0.0	0.0
9798825	9818825	6.1726394527750195	0.0	0.0
9818825	9838825	7.991480051621623	0.0	0.0
9838825	9858825	1.7771248856937996	0.0	0.0
9858825	9878825	3.272057085193059	0.0	0.0
9878825	9898825	8.159719236171176	0.0	0.0
9898825	9918825	11.501032199217512	0.0	0.0
9918825	9938825	10.510768002710893	0.0	0.0
9938825	9958825	7.656310600154727	0.0	0.0
9958825	9978825	3.511086626285255	0.0	0.0
9978825	9998825	1.0114784522189306	0.0	0.0
9998825	10018825	0.5789920996887241	0.0	0.0
10018825	10038825	0.5098880953838159	0.0	0.0
10038825	10058825	8.536353691172067	0.0	0.0
10058825	10078825	6.0005525825443895	0.0	0.0
10078825	10098825	3.2901766075534056	0.01	0.0
