bin	chrom	start	end	ix	n	size	type	bridge
0	1	124535434	142535434	1271	N	18000000	heteroomatin	no
23	1	121535434	124535434	1270	N	3000000	centromere	no
76	1	3845268	3995268	47	N	150000	contig	no
85	1	13219912	13319912	154	N	100000	contig	no
89	1	17125658	17175658	196	N	50000	clone	yes
101	1	29878082	30028082	337	N	150000	contig	no
188	1	120697156	120747156	1263	N	50000	clone	yes
188	1	120936695	121086695	1265	N	150000	contig	no
188	1	121485434	121535434	1269	N	50000	clone	no
209	1	142731022	142781022	1273	N	50000	clone	yes
209	1	142967761	143117761	1275	N	150000	contig	no
210	1	143771002	143871002	1281	N	100000	contig	no
210	1	144401744	144451744	1289	N	50000	clone	yes
212	1	146253299	146303299	1312	N	50000	clone	yes
214	1	148026038	148176038	1328	N	150000	contig	no
214	1	148361358	148511358	1331	N	150000	contig	no
269	1	205922707	206072707	1875	N	150000	contig	no
269	1	206332221	206482221	1878	N	150000	contig	no
310	1	248908210	249058210	2293	N	150000	contig	no
585	1	0	10000	1	N	10000	telomere	no
586	1	177417	227417	4	N	50000	clone	yes
587	1	267719	317719	6	N	50000	contig	no
588	1	471368	521368	8	N	50000	contig	no
605	1	2634220	2684220	32	N	50000	clone	yes
684	1	13052998	13102998	151	N	50000	clone	yes
688	1	13557162	13607162	157	N	50000	clone	yes
1377	1	103863906	103913906	1088	N	50000	clone	yes
1678	1	143292816	143342816	1277	N	50000	clone	yes
1680	1	143544525	143644525	1279	N	100000	contig	no
1684	1	144095783	144145783	1285	N	50000	contig	no
1685	1	144224481	144274481	1287	N	50000	contig	no
1688	1	144622413	144672413	1291	N	50000	contig	no
1689	1	144710724	144810724	1293	N	100000	clone	yes
1697	1	145833118	145883118	1307	N	50000	clone	yes
1700	1	146164650	146214650	1310	N	50000	clone	yes
1719	1	148684147	148734147	1333	N	50000	clone	yes
1721	1	148954460	149004460	1337	N	50000	clone	yes
1725	1	149459645	149509645	1342	N	50000	clone	yes
2292	1	223747846	223797846	2038	N	50000	clone	yes
2379	1	235192211	235242211	2159	N	50000	clone	yes
2486	1	249240621	249250621	2302	N	10000	telomere	no
19	2	90545103	91545103	762	N	1000000	heteroomatin	no
20	2	92326171	95326171	770	N	3000000	centromere	no
76	2	3529312	3579312	38	N	50000	contig	no
77	2	5018788	5118788	52	N	100000	contig	no
156	2	87668206	87718206	739	N	50000	clone	yes
158	2	89630436	89830436	755	N	200000	contig	no
178	2	110109337	110251337	893	N	142000	contig	no
304	2	243102476	243152476	2025	N	50000	clone	yes
585	2	0	10000	1	N	10000	telomere	no
709	2	16279724	16329724	149	N	50000	contig	no
746	2	21153113	21178113	192	N	25000	contig	no
1274	2	90321525	90371525	760	N	50000	clone	yes
1283	2	91545103	91595103	763	N	50000	clone	no
1727	2	149690582	149790582	1221	N	100000	contig	no
2370	2	234003741	234053741	1942	N	50000	contig	no
2414	2	239801978	239831978	1992	N	30000	contig	no
2422	2	240784132	240809132	2001	N	25000	contig	no
2440	2	243189373	243199373	2027	N	10000	telomere	no
585	3	0	10000	1	N	10000	telomere	no
585	3	10000	60000	2	N	50000	clone	no
136	3	66170270	66270270	565	N	100000	contig	no
2	3	90504854	93504854	784	N	3000000	centromere	no
2065	3	194041961	194047251	1693	N	5290	contig	no
2095	3	197962430	198012430	1732	N	50000	contig	no
2095	3	198012430	198022430	1733	N	10000	telomere	no
1	4	49660117	52660117	447	N	3000000	centromere	no
16	4	59739333	59789333	510	N	50000	contig	no
74	4	1423146	1478646	15	N	55500	contig	no
81	4	9274642	9324642	88	N	50000	clone	yes
120	4	49338941	49488941	445	N	150000	contig	no
255	4	191044276	191144276	1657	N	100000	clone	no
585	4	0	10000	1	N	10000	telomere	no
652	4	8799203	8818203	83	N	19000	contig	no
827	4	31820917	31837417	283	N	16500	contig	no
835	4	32834638	32840638	294	N	6000	contig	no
892	4	40296396	40297096	365	N	700	contig	no
1160	4	75427379	75452279	651	N	24900	contig	no
2043	4	191144276	191154276	1658	N	10000	telomere	no
14	5	46405641	49405641	452	N	3000000	centromere	no
89	5	17530657	17580657	171	N	50000	clone	yes
205	5	138787073	138837073	1350	N	50000	contig	no
585	5	0	10000	1	N	10000	telomere	no
1284	5	91636128	91686128	873	N	50000	contig	no
1768	5	155138727	155188727	1514	N	50000	contig	no
1965	5	180905260	180915260	1775	N	10000	telomere	no
16	6	58830166	61830166	628	N	3000000	centromere	no
16	6	61830166	61880166	629	N	50000	clone	no
164	6	95680543	95830543	992	N	150000	contig	no
223	6	157641300	157691300	1654	N	50000	clone	yes
233	6	167942073	168042073	1761	N	100000	clone	yes
585	6	0	10000	1	N	10000	telomere	no
585	6	10000	60000	2	N	50000	contig	no
1028	6	58087659	58137659	620	N	50000	clone	yes
1033	6	58780166	58830166	627	N	50000	clone	no
1059	6	62128589	62178589	633	N	50000	clone	yes
1787	6	157559467	157609467	1652	N	50000	clone	yes
1884	6	170279972	170329972	1787	N	50000	clone	yes
1890	6	171055067	171105067	1797	N	50000	contig	no
1890	6	171105067	171115067	1798	N	10000	telomere	no
1	7	58054331	61054331	564	N	3000000	centromere	no
73	7	232484	282484	5	N	50000	clone	yes
131	7	61310513	61360513	569	N	50000	heteroomatin	no
131	7	61460465	61510465	571	N	50000	clone	yes
208	7	142048195	142098195	1397	N	50000	clone	yes
209	7	143347897	143397897	1409	N	50000	clone	yes
220	7	154270634	154370634	1517	N	100000	contig	no
585	7	0	10000	1	N	10000	telomere	no
969	7	50370631	50410631	488	N	40000	contig	no
1055	7	61677020	61727020	573	N	50000	clone	yes
1057	7	61917157	61967157	575	N	50000	heteroomatin	no
1155	7	74715724	74765724	693	N	50000	clone	yes
1352	7	100556043	100606043	952	N	50000	clone	yes
1578	7	130154523	130254523	1278	N	100000	clone	yes
1648	7	139379377	139404377	1368	N	25000	contig	no
1670	7	142276197	142326197	1399	N	50000	clone	yes
1799	7	159128663	159138663	1563	N	10000	telomere	no
585	8	0	10000	1	N	10000	telomere	no
642	8	7474649	7524649	66	N	50000	contig	no
677	8	12091854	12141854	105	N	50000	contig	no
14	8	43838887	46838887	376	N	3000000	centromere	no
952	8	48130499	48135599	389	N	5100	contig	no
155	8	86576451	86726451	716	N	150000	contig	no
1674	8	142766515	142816515	1177	N	50000	clone	yes
211	8	145332588	145432588	1209	N	100000	contig	no
1701	8	146304022	146354022	1216	N	50000	contig	no
1701	8	146354022	146364022	1217	N	10000	telomere	no
0	9	67107834	67207834	430	N	100000	contig	no
1	9	47367679	50367679	411	N	3000000	centromere	no
1	9	50367679	65367679	412	N	15000000	heteroomatin	no
17	9	70218729	70318729	454	N	100000	contig	no
24	9	133073060	133223060	982	N	150000	contig	no
111	9	39974796	40024796	346	N	50000	contig	no
111	9	40233029	40283029	348	N	50000	clone	yes
112	9	41143214	41193214	357	N	50000	clone	yes
114	9	43213698	43313698	375	N	100000	contig	no
115	9	44676646	44726646	386	N	50000	clone	yes
115	9	44908293	44958293	388	N	50000	clone	yes
117	9	46461039	46561039	403	N	100000	contig	no
135	9	65367679	65467679	413	N	100000	contig	no
135	9	65918360	65968360	418	N	50000	contig	no
136	9	66404656	66454656	423	N	50000	clone	yes
137	9	67366296	67516296	432	N	150000	contig	no
137	9	67987998	68137998	437	N	150000	contig	no
138	9	68514181	68664181	441	N	150000	contig	no
138	9	68838946	68988946	443	N	150000	contig	no
140	9	70506535	70556535	456	N	50000	contig	no
140	9	70735468	70835468	458	N	100000	contig	no
161	9	92343416	92443416	641	N	100000	clone	yes
161	9	92528796	92678796	643	N	150000	clone	yes
205	9	139166997	139216997	1040	N	50000	contig	no
